2022-10-14 16:30:10.4097 
2022-10-14 16:30:10.4097 ********** ParsePacket 5014@10.102.7.90/6C5E3B87C5C6 is now starting ... **********
2022-10-14 16:30:21.8620 ### 開始錄音(建立 CallRtp) => ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21
2022-10-14 16:30:23.1239 pktIndex=85, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58214, RecvRtpSeq=3748, System.Func`1[System.String]
2022-10-14 16:30:23.1539 pktIndex=86, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58214, RecvRtpSeq=3748, System.Func`1[System.String]
2022-10-14 16:30:23.1689 pktIndex=87, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58215, RecvRtpSeq=3748, System.Func`1[System.String]
2022-10-14 16:30:23.1849 pktIndex=88, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58215, RecvRtpSeq=3748, System.Func`1[System.String]
2022-10-14 16:30:23.1999 pktIndex=89, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58215, RecvRtpSeq=3749, System.Func`1[System.String]
2022-10-14 16:30:23.2146 pktIndex=90, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58215, RecvRtpSeq=3749, System.Func`1[System.String]
2022-10-14 16:30:23.2296 pktIndex=91, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58216, RecvRtpSeq=3749, System.Func`1[System.String]
2022-10-14 16:30:23.2446 pktIndex=92, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58216, RecvRtpSeq=3749, System.Func`1[System.String]
2022-10-14 16:30:23.2596 pktIndex=93, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58216, RecvRtpSeq=3750, System.Func`1[System.String]
2022-10-14 16:30:23.2746 pktIndex=94, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58216, RecvRtpSeq=3750, System.Func`1[System.String]
2022-10-14 16:30:23.2896 pktIndex=95, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58217, RecvRtpSeq=3750, System.Func`1[System.String]
2022-10-14 16:30:23.3046 pktIndex=96, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58217, RecvRtpSeq=3750, System.Func`1[System.String]
2022-10-14 16:30:23.3196 pktIndex=97, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58217, RecvRtpSeq=3751, System.Func`1[System.String]
2022-10-14 16:30:23.3346 pktIndex=98, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58217, RecvRtpSeq=3751, System.Func`1[System.String]
2022-10-14 16:30:23.3496 pktIndex=99, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58218, RecvRtpSeq=3751, System.Func`1[System.String]
2022-10-14 16:30:23.3647 pktIndex=100, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58218, RecvRtpSeq=3751, System.Func`1[System.String]
2022-10-14 16:30:23.3796 pktIndex=101, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58218, RecvRtpSeq=3752, System.Func`1[System.String]
2022-10-14 16:30:23.3946 pktIndex=102, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58218, RecvRtpSeq=3752, System.Func`1[System.String]
2022-10-14 16:30:23.4096 pktIndex=103, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58219, RecvRtpSeq=3752, System.Func`1[System.String]
2022-10-14 16:30:23.4247 pktIndex=104, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58219, RecvRtpSeq=3752, System.Func`1[System.String]
2022-10-14 16:30:23.4396 pktIndex=105, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58219, RecvRtpSeq=3753, System.Func`1[System.String]
2022-10-14 16:30:23.4546 pktIndex=106, ext=5014, callID=6c5e3b87-c5c60012-1f71d5be-1f515f0a@10.102.7.90, startTalk=2022/10/14 16:30:21, SendRtpSeq=58219, RecvRtpSeq=3753, System.Func`1[System.String]
