2022-10-14 17:02:47.6096 ### 開始錄音(建立 CallRtp) => ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47
2022-10-14 17:02:48.5885 pktIndex=66, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7296, RecvRtpSeq=4594, System.Func`1[System.String]
2022-10-14 17:02:48.6035 pktIndex=67, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7297, RecvRtpSeq=4594, System.Func`1[System.String]
2022-10-14 17:02:48.6185 pktIndex=68, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7297, RecvRtpSeq=4594, System.Func`1[System.String]
2022-10-14 17:02:48.6345 pktIndex=69, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7297, RecvRtpSeq=4595, System.Func`1[System.String]
2022-10-14 17:02:48.6495 pktIndex=70, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7297, RecvRtpSeq=4595, System.Func`1[System.String]
2022-10-14 17:02:48.6642 pktIndex=71, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7298, RecvRtpSeq=4595, System.Func`1[System.String]
2022-10-14 17:02:48.6792 pktIndex=72, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7298, RecvRtpSeq=4595, System.Func`1[System.String]
2022-10-14 17:02:48.6942 pktIndex=73, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7298, RecvRtpSeq=4596, System.Func`1[System.String]
2022-10-14 17:02:48.7093 pktIndex=74, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7298, RecvRtpSeq=4596, System.Func`1[System.String]
2022-10-14 17:02:48.7242 pktIndex=75, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7299, RecvRtpSeq=4596, System.Func`1[System.String]
2022-10-14 17:02:48.7392 pktIndex=76, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7299, RecvRtpSeq=4596, System.Func`1[System.String]
2022-10-14 17:02:48.7543 pktIndex=77, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7299, RecvRtpSeq=4597, System.Func`1[System.String]
2022-10-14 17:02:48.7693 pktIndex=78, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7299, RecvRtpSeq=4597, System.Func`1[System.String]
2022-10-14 17:02:48.7842 pktIndex=79, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7300, RecvRtpSeq=4597, System.Func`1[System.String]
2022-10-14 17:02:48.7992 pktIndex=80, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7300, RecvRtpSeq=4597, System.Func`1[System.String]
2022-10-14 17:02:48.8143 pktIndex=81, ext=5014, callID=829a0600-1ed10be2-733d4-1107660a@10.102.7.17, startTalk=2022/10/14 17:02:47, SendRtpSeq=7300, RecvRtpSeq=4598, System.Func`1[System.String]
