2022-10-14 17:02:48.0465 RTP: time=[09:02:48:033] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4596, Time=2744467897
2022-10-14 17:02:48.0615 RTP: time=[09:02:48:048] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7299, Time=1695330125
2022-10-14 17:02:48.0615 RTP: time=[09:02:48:048] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7299, Time=1695330125
2022-10-14 17:02:48.0615 RTP: time=[09:02:48:061] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4597, Time=2744468057
2022-10-14 17:02:48.0615 RTP: time=[09:02:48:061] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4597, Time=2744468057
2022-10-14 17:02:48.0615 RTP: time=[09:02:48:067] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7300, Time=1695330285
2022-10-14 17:02:48.0615 RTP: time=[09:02:48:067] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7300, Time=1695330285
2022-10-14 17:02:48.0615 RTP: time=[09:02:48:071] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4598, Time=2744468217
2022-10-14 17:02:48.0615 RTP: time=[09:02:48:071] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4598, Time=2744468217
2022-10-14 17:02:48.0915 RTP: time=[09:02:48:091] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7301, Time=1695330445
2022-10-14 17:02:48.1065 RTP: time=[09:02:48:091] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7301, Time=1695330445
2022-10-14 17:02:48.1065 RTP: time=[09:02:48:091] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4599, Time=2744468377
2022-10-14 17:02:48.1065 RTP: time=[09:02:48:091] ip=[10.102.7.25]:12384 => [10.102.7.90]:25472, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x54DE, Seq=4599, Time=2744468377
2022-10-14 17:02:48.1215 RTP: time=[09:02:48:106] ip=[10.102.7.90]:25472 => [10.102.7.25]:12384, pkt.len=214, PalLoad.Len=172=>payloadType=0, SSRC=0x8D154450, Seq=7302, Time=1695330605
