2022-10-18 10:46:02.6697 RTP: time=[02:46:02.654815] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28041, Time=1443587905
2022-10-18 10:46:02.6697 RTP: time=[02:46:02.654998] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28041, Time=1443587905
2022-10-18 10:46:02.6847 RTP: time=[02:46:02.669744] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50479, Time=3845304661
2022-10-18 10:46:02.6847 RTP: time=[02:46:02.669909] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50479, Time=3845304661
2022-10-18 10:46:02.6997 RTP: time=[02:46:02.684747] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28042, Time=1443588065
2022-10-18 10:46:02.6997 RTP: time=[02:46:02.684873] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28042, Time=1443588065
2022-10-18 10:46:02.6997 RTP: time=[02:46:02.684935] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50480, Time=3845304821
2022-10-18 10:46:02.6997 RTP: time=[02:46:02.684999] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50480, Time=3845304821
2022-10-18 10:46:02.7147 RTP: time=[02:46:02.699776] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28043, Time=1443588225
2022-10-18 10:46:02.7147 RTP: time=[02:46:02.700326] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28043, Time=1443588225
2022-10-18 10:46:02.7147 RTP: time=[02:46:02.700729] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50481, Time=3845304981
2022-10-18 10:46:02.7147 RTP: time=[02:46:02.700788] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50481, Time=3845304981
2022-10-18 10:46:02.7307 RTP: time=[02:46:02.719560] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28044, Time=1443588385
2022-10-18 10:46:02.7307 RTP: time=[02:46:02.719609] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28044, Time=1443588385
2022-10-18 10:46:02.7307 RTP: time=[02:46:02.719655] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50482, Time=3845305141
2022-10-18 10:46:02.7307 RTP: time=[02:46:02.719810] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50482, Time=3845305141
2022-10-18 10:46:02.7627 RTP: time=[02:46:02.746732] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28045, Time=1443588545
2022-10-18 10:46:02.7627 RTP: time=[02:46:02.746836] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28045, Time=1443588545
2022-10-18 10:46:02.7627 RTP: time=[02:46:02.746905] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50483, Time=3845305301
2022-10-18 10:46:02.7627 RTP: time=[02:46:02.746972] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50483, Time=3845305301
2022-10-18 10:46:02.7777 RTP: time=[02:46:02.762779] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28046, Time=1443588705
2022-10-18 10:46:02.7777 RTP: time=[02:46:02.762898] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28046, Time=1443588705
2022-10-18 10:46:02.7777 RTP: time=[02:46:02.762965] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50484, Time=3845305461
2022-10-18 10:46:02.7777 RTP: time=[02:46:02.763012] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50484, Time=3845305461
2022-10-18 10:46:02.7927 RTP: time=[02:46:02.777809] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28047, Time=1443588865
2022-10-18 10:46:02.7927 RTP: time=[02:46:02.777895] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28047, Time=1443588865
2022-10-18 10:46:02.7927 RTP: time=[02:46:02.792747] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50485, Time=3845305621
2022-10-18 10:46:02.8077 RTP: time=[02:46:02.792877] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50485, Time=3845305621
2022-10-18 10:46:02.8077 RTP: time=[02:46:02.793120] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28048, Time=1443589025
2022-10-18 10:46:02.8077 RTP: time=[02:46:02.793197] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28048, Time=1443589025
2022-10-18 10:46:02.8077 RTP: time=[02:46:02.807786] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50486, Time=3845305781
2022-10-18 10:46:02.8077 RTP: time=[02:46:02.808005] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50486, Time=3845305781
2022-10-18 10:46:02.8077 RTP: time=[02:46:02.816636] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28049, Time=1443589185
2022-10-18 10:46:02.8077 RTP: time=[02:46:02.816820] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28049, Time=1443589185
2022-10-18 10:46:02.8377 RTP: time=[02:46:02.822809] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50487, Time=3845305941
2022-10-18 10:46:02.8377 RTP: time=[02:46:02.822890] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50487, Time=3845305941
2022-10-18 10:46:02.8527 RTP: time=[02:46:02.837781] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28050, Time=1443589345
2022-10-18 10:46:02.8527 RTP: time=[02:46:02.837858] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28050, Time=1443589345
2022-10-18 10:46:02.8677 RTP: time=[02:46:02.852741] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50488, Time=3845306101
2022-10-18 10:46:02.8677 RTP: time=[02:46:02.852842] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50488, Time=3845306101
2022-10-18 10:46:02.8677 RTP: time=[02:46:02.852911] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28051, Time=1443589505
2022-10-18 10:46:02.8677 RTP: time=[02:46:02.852978] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28051, Time=1443589505
2022-10-18 10:46:02.8827 RTP: time=[02:46:02.867771] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50489, Time=3845306261
2022-10-18 10:46:02.8827 RTP: time=[02:46:02.867893] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50489, Time=3845306261
2022-10-18 10:46:02.8977 RTP: time=[02:46:02.882776] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28052, Time=1443589665
2022-10-18 10:46:02.8977 RTP: time=[02:46:02.882904] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28052, Time=1443589665
2022-10-18 10:46:02.8977 RTP: time=[02:46:02.882967] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50490, Time=3845306421
2022-10-18 10:46:02.8977 RTP: time=[02:46:02.883022] ip=[10.102.7.85]:22110 => [10.102.7.50]:31402, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0xC6E984AB, Seq=50490, Time=3845306421
2022-10-18 10:46:02.8977 RTP: time=[02:46:02.897826] ip=[10.102.7.50]:31402 => [10.102.7.85]:22110, pkt.len=214, PalLoad.Len=172=>PT=0, SSRC=0x84A7D718, Seq=28053, Time=1443589825
