2022-10-18 10:46:03.6955 pktIndex=  92, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50483, PT=0, SSRC=0xC6E984AB, Seq=50483, Time=3845305301
2022-10-18 10:46:03.7106 pktIndex=  93, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28046, PT=0, SSRC=0x84A7D718, Seq=28046, Time=1443588705
2022-10-18 10:46:03.7256 pktIndex=  94, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28046, PT=0, SSRC=0x84A7D718, Seq=28046, Time=1443588705
2022-10-18 10:46:03.7406 pktIndex=  95, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50484, PT=0, SSRC=0xC6E984AB, Seq=50484, Time=3845305461
2022-10-18 10:46:03.7556 pktIndex=  96, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50484, PT=0, SSRC=0xC6E984AB, Seq=50484, Time=3845305461
2022-10-18 10:46:03.7707 pktIndex=  97, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28047, PT=0, SSRC=0x84A7D718, Seq=28047, Time=1443588865
2022-10-18 10:46:03.7856 pktIndex=  98, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28047, PT=0, SSRC=0x84A7D718, Seq=28047, Time=1443588865
2022-10-18 10:46:03.8006 pktIndex=  99, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50485, PT=0, SSRC=0xC6E984AB, Seq=50485, Time=3845305621
2022-10-18 10:46:03.8156 pktIndex= 100, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50485, PT=0, SSRC=0xC6E984AB, Seq=50485, Time=3845305621
2022-10-18 10:46:03.8306 pktIndex= 101, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28048, PT=0, SSRC=0x84A7D718, Seq=28048, Time=1443589025
2022-10-18 10:46:03.8466 pktIndex= 102, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28048, PT=0, SSRC=0x84A7D718, Seq=28048, Time=1443589025
2022-10-18 10:46:03.8616 pktIndex= 103, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50486, PT=0, SSRC=0xC6E984AB, Seq=50486, Time=3845305781
2022-10-18 10:46:03.8766 pktIndex= 104, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Send_RtpSeq=50486, PT=0, SSRC=0xC6E984AB, Seq=50486, Time=3845305781
2022-10-18 10:46:03.8916 pktIndex= 105, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28049, PT=0, SSRC=0x84A7D718, Seq=28049, Time=1443589185
2022-10-18 10:46:03.9076 pktIndex= 106, ext=5005, callID=6c5e3b87-c0f6002e-47b622e0-437ee4c6@10.102.7.85, Recv_RtpSeq=28049, PT=0, SSRC=0x84A7D718, Seq=28049, Time=1443589185
